reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText
A366JNHOWLQWQQ,B000WOUTKA,1,1,4,this is one of my favorite songs of the past few decades. I was happy to get it into my Amazon library,this is one of my favorite songs of the past few decades . I was happy to get it into my Amazon library
A1MSO3EK95SVCF,B000WOUTKA,1,1,5,It wrecks grate and locks grate,It wrecks grate and locks grate
A1IMI4B95YDMV5,B000WOUTKA,1,1,5,I like it.,I like it .
A1KBHQWJYKYA01,B000WOUTKA,1,1,5,good sound.,good sound .
A2G6VF7XDPKFG3,B000WOUTKA,1,1,5,very cool song..,very cool song ..
A1TB6DFESM3SNF,B000WOUTKA,1,1,5,Good memories!,Good memories !
A3K7LEJMNE7EOF,B000WOUTKA,1,1,5,My daughter first heard this on the movie BARNYARD.  I finally got her to listen to Tom Petty! Now it's her anthem.,My daughter first heard this on the movie BARNYARD . I finally got her to listen to Tom Petty ! Now it 's her anthem .
A3PD94OS8RKOUK,B000WOUTKA,1,1,5,"Great song love this remake, one of my favorite song put it on all my play list.
A must have.","Great song love this remake , one of my favorite song put it on all my play list ."
A2XEPKL0CTSLV8,B000WOXVOQ,1,1,5,Love this song I was glad to have found it at such a great price. Clear sound and instant delivery,Love this song I was glad to have found it at such a great price . Clear sound and instant delivery
A2ECRAJZ9U5KO8,B000WOXVOQ,1,1,5,This song was an easy download.  The cloud player/downloader makes it very easy to purchase Mp3 songs from Amazon.  I also love the deals that are available via the music store.,This song was an easy download . The cloud player / downloader makes it very easy to purchase Mp3 songs from Amazon . I also love the deals that are available via the music store .
AIQDFXQG9K75D,B000WOXVOQ,1,1,5,"...to the house parties of the 70s and 80s. Slow music, slow dancing, red light in the basement, a fine dude kissing your neck....sorry...I got carried away. If you want to remember those good ol' times, buy this song.","... to the house parties of the 70s and 80s . Slow music , slow dancing , red light in the basement , a fine dude kissing your neck .... sorry ... I got carried away . If you want to remember those good ol' times , buy this song ."
AJDKYFN1XXZCJ,B000WOXVOQ,1,1,5,great band love their music,great band love their music
A2ESUL8QBRVY8M,B000WOXVOQ,1,1,5,Like!!,Like ! !
A3MWD7N5JUP87,B000WOXVOQ,1,1,5,Great track!!,Great track ! !
A3PJW5JV4DMWVE,B000WOXVOQ,1,1,5,This is a good song from this group.,This is a good song from this group .
A32GF9L4D8GA90,B000WOXVOQ,1,1,5,LOVE IT!,LOVE IT !
A39MYWEXQ4ZRAA,B000WOXVOQ,1,1,5,One of the best song's of the 80's I miss this group. Real music back then.,One of the best song 's of the 80 's I miss this group . Real music back then .
ACTDPSHFSWRD1,B000WOWPZM,1,1,5,"Have you ever just been driving in your car and you hear those first few notes and all of a sudden you are overcome with emotion.  You begin driving with one hand, the other is now a microphone or a very vivid gesturer of your feelings.  Your voice begins without you realizing, singing along with all of the memories of past best friends, boyfriends, girlfriends, and imaginary friends swimming in front of your eyes.  Then you realize that you are crying as you sing at the loudest your emotion allows. Two hands on the wheel now, clinging while you say whoa-oa-oa. Then your hand returns, holding up a hush finger to your memory, ""Don't speak!"" you wail.  The words all come to you and for about five minutes you are overcome.  Wherever you are, red light, freeway, parking lot, side streets, or waiting for the song to end before you leave your car because you are at your destination, you sing.
This song deserves more than just that karaoke rendition in your car. It deserves to be heard more.  It deserves to be owned.
Buy this song.  Sing this song.","Have you ever just been driving in your car and you hear those first few notes and all of a sudden you are overcome with emotion . You begin driving with one hand , the other is now a microphone or a very vivid gesturer of your feelings . Your voice begins without you realizing , singing along with all of the memories of past best friends , boyfriends , girlfriends , and imaginary friends swimming in front of your eyes . Then you realize that you are crying as you sing at the loudest your emotion allows . Two hands on the wheel now , clinging while you say whoa - oa - oa . Then your hand returns , holding up a hush finger to your memory , "" Do n't speak ! "" you wail . The words all come to you and for about five minutes you are overcome . Wherever you are , red light , freeway , parking lot , side streets , or waiting for the song to end before you leave your car because you are at your destination , you sing . This song deserves more than just that karaoke rendition in your car . It deserves to be heard more ."
A1CD6C2R5R90SD,B000WOWPZM,1,1,4,I remember hearing this song when I was in college.  I had to download it for my Ipod just for old times sake.,I had to download it for my Ipod just for old times sake .
A1DFE7GYON7G7,B000WOXVOQ,1,1,5,"See this is considered GOOD MUSIC. This song has a positive vibe about it, that will make you feel good whatever you are going through.","See this is considered GOOD MUSIC . This song has a positive vibe about it , that will make you feel good whatever you are going through ."
A9WFV9DEWY4S0,B000WOXVOQ,1,1,5,"What can I say about this Excellent Group that would do them justice other than how GREAT they are.  I have loved this group from the first time I heard him until this day!  They are a family that has some of the greatest voices in the music bussiness.  Their harmonies will make you sing along with them and if you love music like I do you'll be singing their tunes in your head too.

My whole family loves this group and one of its members brothers gave my sister a kiss on the cheek when she got her album autographed.  They were very nice and continue to this day to make fabulous music.  I miss them creating new sounds although some of them still perform like El Debarg one of the brothers.  If you and your special sweetie want to hear some mellow danceable jams, Get This One!","What can I say about this Excellent Group that would do them justice other than how GREAT they are . I have loved this group from the first time I heard him until this day ! They are a family that has some of the greatest voices in the music bussiness . Their harmonies will make you sing along with them and if you love music like I do you 'll be singing their tunes in your head too . My whole family loves this group and one of its members brothers gave my sister a kiss on the cheek when she got her album autographed . They were very nice and continue to this day to make fabulous music . I miss them creating new sounds although some of them still perform like El Debarg one of the brothers . If you and your special sweetie want to hear some mellow danceable jams , Get This One !"
A3160JI7JSH0U4,B000WOXVOQ,1,1,5,Love finding classic songs that take me back to my childhood and remind me of family car trips and vacations.,Love finding classic songs that take me back to my childhood and remind me of family car trips and vacations .
A2VNHSOB2EO2YY,B000WOXVOQ,1,1,5,This song is a good one. This is the song you would love to sing and hum. And you can listen to this song.,This song is a good one . This is the song you would love to sing and hum .
APO91TQ34RTU1,B000WOXVOQ,1,1,5,I remember when this song came out in the 80's . Oh my word this  song  bring back a lot of good memories. And tells you how a man should make a woman feel.,Oh my word this   song   bring back a lot of good memories .
A1B7R4FDTNQZWE,B000WOXVOQ,1,1,5,I certainly enjoyed this item.  I would definitely recommend it to any and everyone who is interested in this item!,I certainly enjoyed this item . I would definitely recommend it to any and everyone who is interested in this item !
A3KKI0VTQTOLSV,B000WOWPZM,1,1,5,Awesome song,Awesome song
A20XWNBOPDKCYG,B000WOWPZM,1,1,5,FABULOUS FEMALE ARTIST AND ARRANGEMENT,FABULOUS FEMALE ARTIST AND ARRANGEMENT
A1KCB19DANZUGT,B000WOWPZM,1,1,4,Liked it,Liked it
A3F7U41ZW2FPE8,B000WOWPZM,1,1,5,A great song.,A great song .
A3CMIIP8HR5N1F,B000WOWPZM,1,1,4,classic,classic
A37WTJV1HOQOTQ,B000WOWPZM,1,1,5,Great song.,Great song .
AXCE4WRBKMLY0,B000WOWPZM,1,1,5,Love it,Love it
A3THFNU3M5B7S1,B000WOWPZM,1,1,5,Fell in love with this song when I heard the Spanish guitar playing in it. And who can't relate to this song as we have all been broken hearted at least once in our life by someone. Never get tired of this song.,Fell in love with this song when I heard the Spanish guitar playing in it . And who ca n't relate to this song as we have all been broken hearted at least once in our life by someone . Never get tired of this song .
A9QY8T0FT4BTB,B000WQ6XL2,1,1,5,Great classic song with a good beat.,Great classic song with a good beat .
A1FKZLMLYR7859,B000WQ6XL2,1,1,5,"There are the songs that really made the the 60's and 70's and this is one of them. This is not a one hot wonder band, listen and you will find most of their songs are what your parents and older siblings were listening to. Thats how I first was introduced to these vibes, from my older brothers. Not my generation but it's good for the soul","There are the songs that really made the the 60 's and 70 's and this is one of them . This is not a one hot wonder band , listen and you will find most of their songs are what your parents and older siblings were listening to . That s how I first was introduced to these vibes , from my older brothers . Not my generation but it 's good for the soul"
A1I0H669U0J60X,B000WQ6XL2,1,1,4,Great band,Great band
A1XJHF8BDHNS4L,B000WQ6XL2,1,1,5,here we go again. My band. Man these guys really know how to harmonize.,here we go again . Man these guys really know how to harmonize .
A2MIH4EZSQJWCY,B000WQ6XL2,1,1,5,Love,Love
AX2MZF9A6TP9S,B000WQ6XL2,1,1,5,"Roots rock song from the 1950s - great lyrics - True as still today, as then.","Roots rock song from the 1950s - great lyrics - True as still today , as then ."
A3HB1ZLHYC1RBU,B000WQ6XL2,1,1,5,Great song from back in the day.  Lot's of humor in the song and very original. Love to listen to this t ok brighten up my mood.,Great song from back in the day . Lot 's of humor in the song and very original . Love to listen to this t ok brighten up my mood .
A226UH234YC357,B000WQ6XL2,1,1,5,Sounds just like it did when it was famous.  Love the group and this song is a favorite. I recommend it.,Sounds just like it did when it was famous . Love the group and this song is a favorite . I recommend it .
AE51IBCJ1LQQD,B000WQ6XL2,1,1,4,"Good music: good song good artist. Hope this music flows down to the next generation of artists at some point...I'm a little worried at the direction the music is going, but we always got these classics to listen to","Good music : good song good artist . Hope this music flows down to the next generation of artists at some point ... I'm a little worried at the direction the music is going , but we always got these classics to listen to"
AFLLDB1E9TFN6,B000WQ6XL2,1,1,4,"While trying for many years to upgrade my music system to include songs that were important to me, I found this song done by Three Dog Night that I enjoyed very much when it first came out. I decided that I should buy this song and include it my system, and am very glad that I did.","While trying for many years to upgrade my music system to include songs that were important to me , I found this song done by Three Dog Night that I enjoyed very much when it first came out . I decided that I should buy this song and include it my system , and am very glad that I did ."
AY3PED7KC8W95,B000WQ6XL2,1,1,5,I grew up with classic rock that my Dad introduced me to.  He made sure that I knew what good music was no matter what the genre!,I grew up with classic rock that my Dad introduced me to . He made sure that I knew what good music was no matter what the genre !
A39KI73Z82KDX5,B000WQ6XL2,1,1,5,"I rate this band a 5 star because they sound great. Yes, its an older band but still sound just as good listeing to them now as they did back then. A must hear kind of song.","I rate this band a 5 star because they sound great . Yes , its an older band but still sound just as good listeing to them now as they did back then . A must hear kind of song ."
A2VYPEKBMV1E14,B000WQ6XK8,1,1,5,These songs helped us get through the difficult times cause it spoke about the feelings we had that we could not put into words..,These songs helped us get through the difficult times cause it spoke about the feelings we had that we could not put into words ..
A3QXAIQ3EHY7AD,B000WQ6XK8,1,1,5,Three dog night is an awesome group. I love their songs and this one is a great song.,Three dog night is an awesome group . I love their songs and this one is a great song .
A3JS3K85A488PB,B000WQ6XK8,1,1,5,Great,Great
AE51IBCJ1LQQD,B000WQ6XK8,1,1,5,This is classic music and I love this group and this song particularly. I listen to this all the time in my Ipod,This is classic music and I love this group and this song particularly .
AY3PED7KC8W95,B000WQ6XK8,1,1,5,I grew up with classic rock that my Dad introduced me to.  He made sure that I knew what good music was no matter what the genre!,I grew up with classic rock that my Dad introduced me to . He made sure that I knew what good music was no matter what the genre !
A2JZVWZOJ5J6JH,B000WQ6XK8,1,1,5,I bought this song as a gift for my dad although I myself have been listening to it very often.,I bought this song as a gift for my dad although I myself have been listening to it very often .
A1413HQ9UF22C5,B000WQ6XK8,1,1,5,"Sounds great, downloaded without errors and meets expectations.  Amazon offers a great selection of music and they're are my preferred download site.","Sounds great , downloaded without errors and meets expectations . Amazon offers a great selection of music and they 're are my preferred download site ."
A1BPBSNDV54F8T,B000WQNGCG,1,1,5,Good song,Good song
A1C27KCWDSKMMW,B000WQNGCG,1,1,5,love the song,love the song
A20OBNPC5GRHZA,B000WQNGCG,1,1,5,"This song has such a good beat.  If you love 90s music, this song will fit right in to your playlist.","This song has such a good beat . If you love 90s music , this song will fit right in to your playlist ."
AF5ANUJ6M96YH,B000WS2THW,1,1,5,music is great,music is great
A2WEHGEXFP1NDP,B000WS2THW,1,1,5,"I gave this five stars for my Wife. I bought this version for her. She loves it. Me, I love the Aerosmith version. I'm not too crazy about this one. To me it's a little slower timing than the original. But speaking for my Wife, It's the greatest.","She loves it . Me , I love the Aerosmith version . I 'm not too crazy about this one . To me it 's a little slower timing than the original . But speaking for my Wife , It 's the greatest ."
A3QIX1U8KCFNHQ,B000WS2THW,1,1,5,Love their music,Love their music
A3NHUK1ISMZCFZ,B000WS2THW,1,1,5,Good song,Good song
A11NDWMJ7Z00DQ,B000WS2THW,1,1,5,Great Stuff,Great Stuff
A201QRZNUCD6US,B000WS2THW,1,1,5,Man this base really quakes things. I live in a major city NY and always thought this music was like having a party loud enough to keep down the noise of the subway tracks out the window.,Man this base really quakes things . I live in a major city NY and always thought this music was like having a party loud enough to keep down the noise of the subway tracks out the window .
A201QRZNUCD6US,B000WS2THW,1,1,5,"Aerosmith and RUN-DMC duo great for any music collection, really sets it back to good times with the family and in laws.","Aerosmith and RUN - DMC duo great for any music collection , really sets it back to good times with the family and in laws ."
A1S7B8FO69II4S,B000WS2THW,1,1,5,How can you not listen to this song & not love it??? It's just a fun song that everyone can listen to and enjoy themselves,How can you not listen to this song & not love it ? ? ? It 's just a fun song that everyone can listen to and enjoy themselves
A2EXST6HS7UO0,B000WS2THW,1,1,5,"I remember when this song came out, and I was only in middle school back in the 80s. The song and it's beat stands the test of time.","I remember when this song came out , and I was only in middle school back in the 80s ."
AN4L59J9KEN0Z,B000WS2THW,1,1,5,"You want to talk about when Rock and Roll and Rap first combined; this has to be the first song you think about. Forget all that Limp Bizkrap stuff.  This was truly the best blending of two different genera's, ASIDE from Symphony and Metallica.","You want to talk about when Rock and Roll and Rap first combined ; this has to be the first song you think about . Forget all that Limp Bizkrap stuff . This was truly the best blending of two different genera 's , ASIDE from Symphony and Metallica ."
AC1AW602TTVES,B000WS2THW,1,1,5,It was just what I was looking for. I love Run DMC and absolutely love Aerosmith so this was great.,It was just what I was looking for . I love Run DMC and absolutely love Aerosmith so this was great .
A252UVOWRR2KPW,B000WSWEOA,1,1,4,"...of his classic song ""Layla"".  It's pretty good.  Worth adding to any Eric Clapton and Cream collection.  Well, with Eric Clapton, there was what? six or seven different bands?  Blind Faith, etc, etc...","... of his classic song "" Layla "" . It 's pretty good . Worth adding to any Eric Clapton and Cream collection . Well , with Eric Clapton , there was what ? six or seven different bands ? Blind Faith , etc , etc ..."
A2PT5T9P73GXY,B000WSWEOA,1,1,5,"This song was great when it came out in the 70's but the unplugged version is just as great. It's the same song but each version is unique. Eric is a very talented song writer, singer & accomplish quitar player. Eric is the man....If you do not know who Eric Clapton is I suggest you get on board & buy his records. Even his older stuff as well. There are no words that can express the great talent of this musician. Plugged or Unplugged.","This song was great when it came out in the 70 's but the unplugged version is just as great . It 's the same song but each version is unique . Eric is a very talented song writer , singer & accomplish quitar player . If you do not know who Eric Clapton is I suggest you get on board & buy his records . Even his older stuff as well . There are no words that can express the great talent of this musician . Plugged or Unplugged ."
A1F0Y1546RAG1C,B000WSWEOA,1,1,5,hes still got it!,he s still got it !
A3AJNP76RWQKKM,B000WSWEOA,1,1,5,Who doesn't love Eric Clapton?  I love Amazon Prime!,Who does n't love Eric Clapton ? I love Amazon Prime !
A2NYF01YHZTDPF,B000WSWEOA,1,1,5,Great Music!,Great Music !
A3UDXI1UAVUZAY,B000WSWEOA,-1,-1,2,"Too slow, I didn't like it.","Too slow , I did n't like it ."
A17BKQC4M62W3Y,B000WSWEOA,1,1,5,love this song,love this song
A2K9M75G0A7CM2,B000WSWEOA,1,1,5,Slowhand magic!,Slowhand magic !
A2VOVZMI83Y7L6,B000WSWEOA,1,1,4,"This is the greatest, other version, of the Layla song.  Unplugged shows the great guitar work that Eric is capable of and this one is acoustic!","This is the greatest , other version , of the Layla song . Unplugged shows the great guitar work that Eric is capable of and this one is acoustic !"
A28TDG1FO3O527,B000WSWEOA,1,1,5,This is great and timeless music that triggers some great memories. This is the sound from the past that still has appeal and invariably provokes an attempt to sing along.,This is great and timeless music that triggers some great memories . This is the sound from the past that still has appeal and invariably provokes an attempt to sing along .
A35IMJ44IJYK1F,B000WSWEOA,1,1,5,"Very hot and sultry version of Clapton's classic Layla.  LOVE it!  Even if you have the plugged version, you should have this one, too!","Very hot and sultry version of Clapton 's classic Layla . LOVE it ! Even if you have the plugged version , you should have this one , too !"
A3US3SCR0VKV2N,B000WSWEOA,1,1,5,"Layla is my all time favorite song, sung and played by my all time favorite artist and this version, a live recording, is very, very nice, indeed!  There is nobody like Clapton, simply an original!","Layla is my all time favorite song , sung and played by my all time favorite artist and this version , a live recording , is very , very nice , indeed ! There is nobody like Clapton , simply an original !"
A3DPPZCPCLWWQH,B000WSWEOA,1,1,5,"Layle, one of the best songs made. Eric Clapton really had something here when he did Layle. A must havve","Layle , one of the best songs made . Eric Clapton really had something here when he did Layle ."
A1SG97KD8C9DUW,B000WSV1AS,1,1,5,Brings back memories & social commentary about prejudice in the 1970's. Her voice was soft and the lyrics meaningful and touching.,Brings back memories & social commentary about prejudice in the 1970 's . Her voice was soft and the lyrics meaningful and touching .
A3E1ATMT6RVR71,B000WSV1AS,1,1,5,This a classic!  I haven't heard it in years and was so happy to find it available to download on my MP3!,This a classic ! I have n't heard it in years and was so happy to find it available to download on my MP3 !
A2C4AVDEMDCN23,B000WT5CAW,1,1,5,"My granddaddy would always sing this to me when I was growing up, and there are many versions done by many different artists, but I love Johnny Cash, so I went with his version.  Love this song.. it is very sweet, and brings back a lot of memories for me!","My granddaddy would always sing this to me when I was growing up , and there are many versions done by many different artists , but I love Johnny Cash , so I went with his version . Love this song .. it is very sweet , and brings back a lot of memories for me !"
A2BTXDKAS1BWR7,B000WT5CAW,1,1,5,"This song was a part of my childhood - I remember my mother singing it to me.  Hearing Johnny Cash sing it without a lot of ""bells and whistles"" is a pleasure.  I am so pleased to have it in my music collection.","Hearing Johnny Cash sing it without a lot of "" bells and whistles "" is a pleasure . I am so pleased to have it in my music collection ."
A3UGRW2WDAPDMT,B000WT5CAW,1,1,5,"You Are My Sunshine by Johnny Cash.  This is by far one of my most favorite country music songs ever.

This is just one of those songs that I had to have in my library of songs. I like a variety of music depending on what I feel like listening to and when. This is just one of those songs that had to be added to my collection.",You Are My Sunshine by Johnny Cash . This is by far one of my most favorite country music songs ever . This is just one of those songs that I had to have in my library of songs . I like a variety of music depending on what I feel like listening to and when . This is just one of those songs that had to be added to my collection .
A2UU3CGSPYRBUD,B000WT5CAW,1,1,5,"The Johnny Cash version of ""You Are My Sunshine"" is the BEST!!!!","The Johnny Cash version of "" You Are My Sunshine "" is the BEST ! ! ! !"
A1QC9OFSQ210FC,B000WT5CAW,1,1,5,so soulful,so soulful
A20Z0JD766DPG6,B000WT62UQ,1,1,5,"Downloading went great as usual with Amazon music.  If you only want a particular song this is the way to go.  I still $1.25 per song is too high, but that's what the public is paying","Downloading went great as usual with Amazon music . If you only want a particular song this is the way to go . I still $ 1.25 per song is too high , but that 's what the public is paying"
AIYSLCRQYOSLI,B000WT62UQ,1,1,5,always wanted this tune.........was happy to find it. i was not aware amazon mp3 would have it. it's nice to know you can find music.,always wanted this tune ......... was happy to find it . i was not aware amazon mp3 would have it . it 's nice to know you can find music .
A3GGNJ05YUT888,B000WT5JAU,1,1,5,"A very classic hard rock song that just gets better with age. A great rock and roll anthem song that makes you feel good, so crank it up.","A very classic hard rock song that just gets better with age . A great rock and roll anthem song that makes you feel good , so crank it up ."
AW3RHA4B1LHOE,B000WT62UQ,1,1,5,great song,great song
AOROFT8YI4YYV,B000WT62UQ,1,1,5,my Johnny..man in black,my Johnny .. man in black
A1O6HQY3JLU5JG,B000WT62UQ,1,1,5,great song,great song
AFVQDZ4F03GAZ,B000WT62UQ,1,1,5,Great song by a legendary singer.,Great song by a legendary singer .
A2XRDQNDE1N3K1,B000WT62UQ,1,1,4,Good song.,Good song .
AR25HZ3SRSI4C,B000WT62UQ,1,1,5,one of my favorites,one of my favorites
A2C9HIFGPOJM7Z,B000WT62UQ,1,1,5,"A  heart-felt, soul-searching swan song from one of the best ever. I miss the man in black, and songs like this are the reason.","A   heart - felt , soul - searching swan song from one of the best ever . I miss the man in black , and songs like this are the reason ."
AC1W046DT3OFX,B000WT62UQ,1,1,5,Love it  !!!!!!!,Love it   ! ! ! ! ! ! !
AHX3WF4PBV9D1,B000WT62UQ,1,1,5,"This song is great. I have always enjoyed Johnny, He is a man of the people. He's had a hard life and you can hear it in his songs. I love this song and the price was great.","This song is great . I have always enjoyed Johnny , He is a man of the people . He 's had a hard life and you can hear it in his songs . I love this song and the price was great ."
APH04ED6KOVM1,B000WT62UQ,1,1,5,He never lets you down. He can just make you think of the words as he sings. Great music and a great song.,He never lets you down . He can just make you think of the words as he sings . Great music and a great song .
A3MQ672FYFNM7B,B000WTUV7Q,1,1,5,"""One Day at a Time"" is one of my favorite classic country songs because Ms. Lane has such a lovely voice that is both relaxing and inspirational. This is a very unique song because it has an extremely powerful message that everyone will enjoy. It's also a unique song about religion and Jesus' comfort and support which is one of the only songs of its kind to become a crossover top-10 pop hit. I especially enjoy how Ms. Lane picks up her pitch as she sings the chorus. Although the song is almost 30 years old, I recommend it to anyone who enjoys country, pop or inspirational music.",""" One Day at a Time "" is one of my favorite classic country songs because Ms. Lane has such a lovely voice that is both relaxing and inspirational . This is a very unique song because it has an extremely powerful message that everyone will enjoy . It 's also a unique song about religion and Jesus ' comfort and support which is one of the only songs of its kind to become a crossover top-10 pop hit . I especially enjoy how Ms. Lane picks up her pitch as she sings the chorus . Although the song is almost 30 years old , I recommend it to anyone who enjoys country , pop or inspirational music ."
ADZI5FE9MOFI7,B000WTUV7Q,1,1,5,great,great
ABDR6IJ93HFIO,B000WTUV7Q,1,1,5,"One Day At A Time by Cristy Lane is a True classic! Such a True and inspiring song! This song is the perfect prayer in song form that is so beautifully done and all inspiring to me (one who needs to focus on TODAY, not next week or next month etc). This song I play often as it keeps me focused on today. In fact the song has helped me so much, I went to lyricstime.com and downloaded the words to this song. This song I have now in my special playlist and play it often.

Highly recommend this song!","One Day At A Time by Cristy Lane is a True classic ! Such a True and inspiring song ! This song is the perfect prayer in song form that is so beautifully done and all inspiring to me ( one who needs to focus on TODAY , not next week or next month etc ) . This song I play often as it keeps me focused on today . In fact the song has helped me so much , I went to lyricstime.com and downloaded the words to this song . This song I have now in my special playlist and play it often . Highly recommend this song !"
A2ISD5R65I3ZFR,B000WTUV7Q,1,1,5,I enjoy the heartfelt rendition of this beautiful song.  This has always been one of my all time favorites.  The lyrics really touch my heart.,I enjoy the heartfelt rendition of this beautiful song . This has always been one of my all time favorites . The lyrics really touch my heart .
A2B8MPKB1J5GHG,B000WTUV7Q,1,1,5,This song was purchased to add to my collection and it was what I expected. The cost was great and will be used..,The cost was great and will be used ..
A23TASH0JUR2KG,B000WTUYM8,1,1,5,"This is a very nice song. The melody and how every thing comes together was done very well. Nelly's voice is crystal clear. This song should have been longer with some sort of instrumental solo in the middle and at the end fading away slowly in conjunction with the other instruments. None the less I like this type of song from Nelly. I've been a fan off Nelly since she started in the late 90's. I was in high school and normally listened to rock music like Guns N' Roses, Metalica, Aerosmith, Pink Floyd etc. I hated when she changed to more ""dirty"" type music. But she had to grow up and wish she would make more of this types of songs. This is more classy Nelly and I like a well orchestrate song with melodies. U need to listen very carefully to the song with your headphones to appreciate not just the lyrics, but the instruments and how they were tied together. GOOD MUSIC!","This is a very nice song . The melody and how every thing comes together was done very well . Nelly 's voice is crystal clear . This song should have been longer with some sort of instrumental solo in the middle and at the end fading away slowly in conjunction with the other instruments . None the less I like this type of song from Nelly . I 've been a fan off Nelly since she started in the late 90 's . I was in high school and normally listened to rock music like Guns N ' Roses , Metalica , Aerosmith , Pink Floyd etc . I hated when she changed to more "" dirty "" type music . But she had to grow up and wish she would make more of this types of songs . This is more classy Nelly and I like a well orchestrate song with melodies . U need to listen very carefully to the song with your headphones to appreciate not just the lyrics , but the instruments and how they were tied together . GOOD MUSIC !"
AN9AXUWNL1KNQ,B000WTUYM8,1,1,5,yes,yes
A1LPYW5WXUPXKY,B000WTUYM8,1,1,4,Good song!,Good song !
A22PZBENWG6IM0,B000WTUYM8,1,1,5,THIS SONG IS AWESOME!!!!,THIS SONG IS AWESOME ! ! ! !
AF9NWZ4SJ5ZUU,B000WTUYM8,1,1,5,Love it.,Love it .
A3D24WAGR0T51,B000WTUYM8,1,1,5,I am not necessarily a Nelly Furtado fan but this song rocks! I am also very pleased with Amazon's music downloads.....no more iTunes!,I am not necessarily a Nelly Furtado fan but this song rocks ! I am also very pleased with Amazon 's music downloads ..... no more iTunes !
A29SJE9QDWS9AE,B000WTUYM8,1,1,4,"I just like it for the usual reason(s) ... good beat, nice voice, catchy meanings ... cool to listen to ... MoonBee","I just like it for the usual reason(s ) ... good beat , nice voice , catchy meanings ... cool to listen to ... MoonBee"
A26GRWSM1Z4EAZ,B000WTUYM8,1,1,5,I am a big fan of this song and it's a great club song. I really like it a lot,I am a big fan of this song and it 's a great club song . I really like it a lot
ANLYV7E27PQ91,B000WTUYM8,1,1,5,I like listening to this on my new Monster Clarity with Bluetooth from my Droid Razr Maxx. I just crank it up!,I like listening to this on my new Monster Clarity with Bluetooth from my Droid Razr Maxx . I just crank it up !
